pa_id,nombre,no_loss_km2,loss_1315_km2,loss_1618_km2,area_forest_km2
1,Alto Fragua - Indi Wasi,810.231852670318,8.3370919942873,14.3246847393376,832.893629403943
2,Amacayacu,2570.47392623136,3.71364428256613,3.21694130717144,2577.4045118211
3,Cahuinari,3662.84148045088,0.747571119949375,1.21134734161638,3664.80039891245
4,Catatumbo Bari,1302.13025090706,42.7932704304874,108.270595113463,1453.19411645101
5,Chingaza,1275.08956391559,0.537620198699636,1.20177302801683,1276.8289571423
6,Complejo Volcanico Dona Juana Cascabel,1276.20496449378,1.89340755784776,3.65147438285806,1281.74984643448
7,Cordillera de los Picachos,1863.97630812049,9.52266011446888,57.1725112591261,1930.67147949409
8,Cueva de los Guacharos,124.571794901298,0.59750815303997,2.22006968753306,127.389372741871
9,El Cocuy,2066.6010970111,1.66804381947327,7.15451260188125,2075.42365343246
10,El Tuparro,758.706018109501,3.39518513113639,7.11316247867708,769.214365719314
11,Farallones de Cali,1968.53033421328,3.67129445786735,5.69341300411999,1977.89504167527
13,La Paya,2400.10341093393,71.6810110600447,115.93966231027,2587.72408430424
14,Las Hermosas,1604.12886896096,2.50915907929901,7.80363728524002,1614.4416653255
15,Las Orquideas,1150.87509292806,1.99419305781076,9.43139802592814,1162.3006840118
16,Los Corales del Rosario y San Bernardo,53.9791068797926,1.66433650910192,2.59784081619971,58.2412842050942
17,Los Katios,852.723347576876,7.97039150977682,38.859646705856,899.553385792509
18,Los Nevados,1131.28944054282,4.27524545513025,5.5049001701655,1141.06958616812
19,Macuira,1.59736340420546,0,0.00075241908724606,1.5981158232927
20,Munchique,1265.40329776306,10.2469880850065,25.521142904521,1301.17142875259
21,Nevado del Huila,2515.35571513762,7.17315075471213,18.9897398997287,2541.51860579206
22,Nukak,5385.33358563091,8.46156076377943,39.6609086435033,5433.45605503819
23,Old Providence And Mc Bean Lagoon,16.13388991977,0.010486294607766,0,16.1443762143777
24,Paramillo,3645.5798597047,29.7058260409843,91.7793288902442,3767.06501463592
25,Pisba,799.326468421616,0.474565101195786,3.37266168279995,803.173695205612
26,Puinawai,5008.20846933343,1.83588963814759,3.49365299077485,5013.53801196236
27,Purace,1684.40197578537,0.597353148953352,1.54533526325526,1686.54466419758
28,Rio Pure,3685.77827681586,0.288361229657051,0.631202304598546,3686.69784035011
29,Sanquianga,790.996735168355,3.87031204507323,4.74583285374777,799.612880067176
30,Selva de Florencia,601.082380288553,2.83306703881921,10.7345476235861,614.649994950958
31,Serrania de Chiribiquete,10183.9083790695,2.45848936690611,1.29084263651449,10187.6577110729
32,Serrania de los Churumbelos  - Auka Wasi,1285.30633836053,12.455970198177,23.0518013296083,1320.81410988831
33,Serrania de los Yariguies,1441.14267472783,2.97945660344458,16.9999378400343,1461.1220691713
34,Sierra de la Macarena,2835.6565009794,107.147275340204,295.494108087611,3238.29788440722
35,Sierra Nevada de Santa Marta,2589.9682112457,30.311349298001,55.3843816573375,2675.66394220104
36,Sumapaz,2087.05107473658,1.40109729141742,4.27627051542413,2092.72844254342
37,Tama,727.735700619727,2.0084175056148,5.22142484993708,734.965542975279
38,Tatama,1295.08795773195,3.97151660631851,15.3300639417391,1314.38953828001
39,Tayrona,234.576330179962,9.31404457584701,1.13009520049694,245.020469956306
40,Tinigua,652.251886828291,31.0797186306876,104.846330974209,788.177936433188
41,Uramba Bahia Malaga,763.806763371316,0.118955972384267,0.146586782162731,764.072306125863
42,Utria,906.739795838098,1.01696105500501,1.52959561585377,909.286352508956
43,Yaigoje Apaporis,5860.16852059126,6.69398511625333,8.39861582443786,5875.26112153195
